figure_id,paper_id,field,image_path,phash
FIG_00000151,2605.30330v1,ML,figures/ML/FIG_00000151.png,fa8585d0c32ff00f
FIG_00000152,2605.30330v1,ML,figures/ML/FIG_00000152.png,fa8585d0c32ff00f
FIG_00000158,2605.30330v1,ML,figures/ML/FIG_00000158.png,ffc0c0d58095953f
FIG_00000159,2605.30330v1,ML,figures/ML/FIG_00000159.png,ffc0c0d58095953f
FIG_00000169,2605.30329v1,ML,figures/ML/FIG_00000169.png,e699965959a5a156
FIG_00000170,2605.30329v1,ML,figures/ML/FIG_00000170.png,efc4951bd222942f
FIG_00000177,2605.30329v1,ML,figures/ML/FIG_00000177.png,e699965959a5a156
FIG_00000178,2605.30329v1,ML,figures/ML/FIG_00000178.png,efc4951bd222942f
FIG_00000213,2605.30346v1,CV,figures/CV/FIG_00000213.png,ae99e6a6996bc1c0
FIG_00000214,2605.30346v1,CV,figures/CV/FIG_00000214.png,ae99e6a6996bc1c0
FIG_00000227,2605.30342v1,CV,figures/CV/FIG_00000227.png,b89f6ce0c368c1e3
FIG_00000228,2605.30342v1,CV,figures/CV/FIG_00000228.png,b89f6ce0c368c1e3
FIG_00000285,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000285.png,fe81b736945981ca
FIG_00000287,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000287.png,ee4e426c91d1d12f
FIG_00000288,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000288.png,b931d4c464e6c69b
FIG_00000290,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000290.png,f8a7c24ab15a61b5
FIG_00000291,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000291.png,ba67c51f81428779
FIG_00000292,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000292.png,ae9291c796794b1a
FIG_00000293,2605.30313v1,ROBOTICS,figures/ROBOTICS/FIG_00000293.png,fa86e1cdd0960db1
FIG_00000339,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000339.png,ba2ac13d94e66f90
FIG_00000340,2605.29937v1,ROBOTICS,figures/ROBOTICS/FIG_00000340.png,ba2ac13d94e66f90
FIG_00000362,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000362.png,fb11d0cec42ed0f1
FIG_00000363,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000363.png,ae1a309bd2f8cb4a
FIG_00000364,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000364.png,aac3b53c429eb549
FIG_00000365,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000365.png,bec8e1b1e08d863e
FIG_00000366,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000366.png,ab0d376b944ad4d4
FIG_00000367,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000367.png,abd2c4e4e0ad913b
FIG_00000368,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000368.png,af62c09dc23f9495
FIG_00000369,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000369.png,bd6dc213c2d2c41f
FIG_00000370,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000370.png,bb3fc41ac4c95a29
FIG_00000371,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000371.png,be33c027d187c36c
FIG_00000372,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000372.png,ae6b943bc13ec194
FIG_00000373,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000373.png,ff6a943bc03f8481
FIG_00000374,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000374.png,ee9c916ae63fc084
FIG_00000375,2605.29808v1,IMAGING,figures/IMAGING/FIG_00000375.png,e8279778988dc4d3
FIG_00000455,2605.30288v1,AI,figures/AI/FIG_00000455.png,fa1cdae1853e854a
FIG_00000456,2605.30288v1,AI,figures/AI/FIG_00000456.png,ae987eda204834f7
FIG_00000457,2605.30288v1,AI,figures/AI/FIG_00000457.png,fe1e956e2ec181c1
FIG_00000458,2605.30288v1,AI,figures/AI/FIG_00000458.png,eaa077856d6d909c
FIG_00000459,2605.30288v1,AI,figures/AI/FIG_00000459.png,8c3a9b1eb4c3d1f0
FIG_00000495,2605.30251v1,AI,figures/AI/FIG_00000495.png,ee6c991b9017d2d2
FIG_00000496,2605.30251v1,AI,figures/AI/FIG_00000496.png,ee6c991b9017d2d2
FIG_00000502,2605.30233v1,AI,figures/AI/FIG_00000502.png,ab26b566c09d8dc9
FIG_00000503,2605.30233v1,AI,figures/AI/FIG_00000503.png,ab26b566c09d8dc9
FIG_00000582,2605.30188v1,AI,figures/AI/FIG_00000582.png,ea87957a62c51c95
FIG_00000583,2605.30188v1,AI,figures/AI/FIG_00000583.png,ea87957a62c51c95
FIG_00000616,2605.30155v1,AI,figures/AI/FIG_00000616.png,b05899adda7807a7
FIG_00000617,2605.30155v1,AI,figures/AI/FIG_00000617.png,f870d60f8de0961d
FIG_00000618,2605.30155v1,AI,figures/AI/FIG_00000618.png,fade80daf68181c9
FIG_00000619,2605.30155v1,AI,figures/AI/FIG_00000619.png,f77b783f081e8184
FIG_00000620,2605.30155v1,AI,figures/AI/FIG_00000620.png,eade945a768181cd
FIG_00000621,2605.30155v1,AI,figures/AI/FIG_00000621.png,eade945a768181cd
FIG_00000622,2605.30155v1,AI,figures/AI/FIG_00000622.png,eade945a768181cd
FIG_00000671,2605.30120v1,AI,figures/AI/FIG_00000671.png,9f85e39945425ce3
FIG_00000672,2605.30120v1,AI,figures/AI/FIG_00000672.png,fba6a41985ccc0e7
FIG_00000673,2605.30120v1,AI,figures/AI/FIG_00000673.png,bbe0e03bcc3c6166
FIG_00000674,2605.30120v1,AI,figures/AI/FIG_00000674.png,be213d6ba2521e1e
FIG_00000786,2605.30039v1,AI,figures/AI/FIG_00000786.png,bf4879d29ca186b1
FIG_00000787,2605.30039v1,AI,figures/AI/FIG_00000787.png,aed6803d3f999149
FIG_00000788,2605.30039v1,AI,figures/AI/FIG_00000788.png,fe968466857690b9
FIG_00000789,2605.30039v1,AI,figures/AI/FIG_00000789.png,eeb695cd9066811b
FIG_00000790,2605.30039v1,AI,figures/AI/FIG_00000790.png,af42689e98b3b721
FIG_00000791,2605.30039v1,AI,figures/AI/FIG_00000791.png,eb927a1e814da535
FIG_00000792,2605.30039v1,AI,figures/AI/FIG_00000792.png,ab6af6a5948d0f81
FIG_00000793,2605.30039v1,AI,figures/AI/FIG_00000793.png,8f967a5aa97c802d
FIG_00000794,2605.30039v1,AI,figures/AI/FIG_00000794.png,ad7ab438f2a5a08d
FIG_00000795,2605.30039v1,AI,figures/AI/FIG_00000795.png,a73c3b683ce1c986
FIG_00000796,2605.30039v1,AI,figures/AI/FIG_00000796.png,af4f1b926891e83c
FIG_00000797,2605.30039v1,AI,figures/AI/FIG_00000797.png,af3c68c3e0c7e093
FIG_00000955,2605.29951v1,AI,figures/AI/FIG_00000955.png,be78c1a7e1e0c1e1
FIG_00000956,2605.29951v1,AI,figures/AI/FIG_00000956.png,be78c1a7e1e0c1e1
FIG_00000966,2605.29940v1,AI,figures/AI/FIG_00000966.png,feb0810f6660d19f
FIG_00000967,2605.29940v1,AI,figures/AI/FIG_00000967.png,feb0810f6660d19f
FIG_00001077,2605.29833v1,AI,figures/AI/FIG_00001077.png,af69e0cb85a3d8c4
FIG_00001078,2605.29833v1,AI,figures/AI/FIG_00001078.png,bf3cc1c3c0a65e34
FIG_00001079,2605.29833v1,AI,figures/AI/FIG_00001079.png,ae8de54bc8b69648
FIG_00001080,2605.29833v1,AI,figures/AI/FIG_00001080.png,bf9fc1dac060e431
FIG_00001081,2605.29833v1,AI,figures/AI/FIG_00001081.png,abc3f45b96a4ca84
FIG_00001082,2605.29833v1,AI,figures/AI/FIG_00001082.png,aaa57872a17e817c
FIG_00001083,2605.29833v1,AI,figures/AI/FIG_00001083.png,ab81f56bc07e9588
FIG_00001084,2605.29833v1,AI,figures/AI/FIG_00001084.png,bf94d04a2d23d2a7
FIG_00001085,2605.29833v1,AI,figures/AI/FIG_00001085.png,bb99d00646cfbcc8
FIG_00001097,2605.29826v1,AI,figures/AI/FIG_00001097.png,af0be1dad426a5a1
FIG_00001098,2605.29826v1,AI,figures/AI/FIG_00001098.png,af0be1dad426a5a1
FIG_00001141,2605.29796v1,AI,figures/AI/FIG_00001141.png,af94d1ac9148ccf3
FIG_00001142,2605.29796v1,AI,figures/AI/FIG_00001142.png,eb81b83ee2623ca5
FIG_00001143,2605.29796v1,AI,figures/AI/FIG_00001143.png,ea90bc63ae9b9624
FIG_00001144,2605.29796v1,AI,figures/AI/FIG_00001144.png,bab79d24c7c3d084
FIG_00001145,2605.29796v1,AI,figures/AI/FIG_00001145.png,bb38e18f8c1c7073
FIG_00001146,2605.29796v1,AI,figures/AI/FIG_00001146.png,fac5816a807eb535
FIG_00001147,2605.29796v1,AI,figures/AI/FIG_00001147.png,bf87c178c18ad0dc
FIG_00001148,2605.29796v1,AI,figures/AI/FIG_00001148.png,bf83c1e68183d0fc
FIG_00001305,2605.29653v1,AI,figures/AI/FIG_00001305.png,bb4be49ec2499662
FIG_00001306,2605.29653v1,AI,figures/AI/FIG_00001306.png,bb4be49ec2499662
FIG_00001325,2605.29640v1,AI,figures/AI/FIG_00001325.png,af2f90c8d999c295
FIG_00001326,2605.29640v1,AI,figures/AI/FIG_00001326.png,bc0bf3c0d495d495
FIG_00001327,2605.29640v1,AI,figures/AI/FIG_00001327.png,bc0bf3c0d495d495
FIG_00001328,2605.29640v1,AI,figures/AI/FIG_00001328.png,b81ee6c5c6789985
FIG_00001329,2605.29640v1,AI,figures/AI/FIG_00001329.png,ea03b2b6153cc5f2
FIG_00001330,2605.29640v1,AI,figures/AI/FIG_00001330.png,af0f845af2f0d0d2
FIG_00001528,2605.29532v1,AI,figures/AI/FIG_00001528.png,db383cc7a5c3c291
FIG_00001529,2605.29532v1,AI,figures/AI/FIG_00001529.png,db383cc7a5c3c291
FIG_00001535,2605.29526v1,AI,figures/AI/FIG_00001535.png,ebcdcc9b95219452
FIG_00001536,2605.29526v1,AI,figures/AI/FIG_00001536.png,ebcdcc9b95219452
FIG_00001718,2605.29446v1,AI,figures/AI/FIG_00001718.png,ab83b4d27c2c9578
FIG_00001719,2605.29446v1,AI,figures/AI/FIG_00001719.png,ab83b4d27c2c9578
FIG_00001726,2605.29442v1,AI,figures/AI/FIG_00001726.png,fa85857a5a7a8585
FIG_00001728,2605.29442v1,AI,figures/AI/FIG_00001728.png,fa85857a5a7a8585
FIG_00001916,2605.29299v1,AI,figures/AI/FIG_00001916.png,af2ef0f0c0079b0f
FIG_00001917,2605.29299v1,AI,figures/AI/FIG_00001917.png,be7b2e6e7b808490
FIG_00001968,2605.29268v1,AI,figures/AI/FIG_00001968.png,ea61e49d855b94a6
FIG_00001969,2605.29268v1,AI,figures/AI/FIG_00001969.png,fb13f3868d28c9c8
FIG_00001970,2605.29268v1,AI,figures/AI/FIG_00001970.png,bb6fd4d0c4092b66
FIG_00001971,2605.29268v1,AI,figures/AI/FIG_00001971.png,eb16bec8c1274aca
FIG_00001972,2605.29268v1,AI,figures/AI/FIG_00001972.png,9f1ff0e0e01cd1e1
FIG_00001973,2605.29268v1,AI,figures/AI/FIG_00001973.png,fb72c2a4f12d2872
FIG_00001974,2605.29268v1,AI,figures/AI/FIG_00001974.png,aa6cf82d79878456
FIG_00001975,2605.29268v1,AI,figures/AI/FIG_00001975.png,afc2d23d854eb192
FIG_00001976,2605.29268v1,AI,figures/AI/FIG_00001976.png,abc2e23d94b5b1c2
FIG_00002186,2605.29146v1,AI,figures/AI/FIG_00002186.png,ee714cee8d87b420
FIG_00002187,2605.29146v1,AI,figures/AI/FIG_00002187.png,af286dccd0f0b332
FIG_00002188,2605.29146v1,AI,figures/AI/FIG_00002188.png,b6e0c91d98d92763
FIG_00002189,2605.29146v1,AI,figures/AI/FIG_00002189.png,e338bc03f6ca817c
FIG_00002190,2605.29146v1,AI,figures/AI/FIG_00002190.png,da2fb55a6ae1e060
FIG_00002191,2605.29146v1,AI,figures/AI/FIG_00002191.png,fb35964aa4e14ab4
FIG_00002192,2605.29146v1,AI,figures/AI/FIG_00002192.png,be959d6ac1f8c0c2
FIG_00002193,2605.29146v1,AI,figures/AI/FIG_00002193.png,b919cc976c649393
FIG_00002194,2605.29146v1,AI,figures/AI/FIG_00002194.png,fac7b4c01a2bcbd0
FIG_00002298,2605.29078v1,AI,figures/AI/FIG_00002298.png,eae9817a6ec69518
FIG_00002299,2605.29078v1,AI,figures/AI/FIG_00002299.png,eae9817a6ec69518
FIG_00002324,2605.29055v1,AI,figures/AI/FIG_00002324.png,f94b3c9487b1c334
FIG_00002325,2605.29055v1,AI,figures/AI/FIG_00002325.png,f94b3c9487b1c334
FIG_00002358,2605.29018v1,AI,figures/AI/FIG_00002358.png,efa0b4d078f560c6
FIG_00002359,2605.29018v1,AI,figures/AI/FIG_00002359.png,efa0b4d078f560c6
FIG_00002738,2605.28669v1,AI,figures/AI/FIG_00002738.png,eb8e7897912d8d81
FIG_00002739,2605.28669v1,AI,figures/AI/FIG_00002739.png,eb8e7897912d8d81
FIG_00002806,2605.28602v1,AI,figures/AI/FIG_00002806.png,be4ab1c4c0b1cba7
FIG_00002807,2605.28602v1,AI,figures/AI/FIG_00002807.png,be4ab1c4c0b1cba7
FIG_00003182,2605.28337v1,AI,figures/AI/FIG_00003182.png,8f8678966806fc79
FIG_00003183,2605.28337v1,AI,figures/AI/FIG_00003183.png,8f8678966806fc79
FIG_00003187,2605.28337v1,AI,figures/AI/FIG_00003187.png,8a8578b7c81bf568
FIG_00003190,2605.28337v1,AI,figures/AI/FIG_00003190.png,8a8578b7c81bf568
FIG_00003233,2605.28305v1,AI,figures/AI/FIG_00003233.png,bec7c03496ce7093
FIG_00003234,2605.28305v1,AI,figures/AI/FIG_00003234.png,bec7c03496ce7093
FIG_00003516,2605.28145v1,AI,figures/AI/FIG_00003516.png,bbdec6c4c0cac439
FIG_00003517,2605.28145v1,AI,figures/AI/FIG_00003517.png,bbdec6c4c0cac439
FIG_00003565,2605.28114v1,AI,figures/AI/FIG_00003565.png,ebb49421d27bc4c6
FIG_00003566,2605.28114v1,AI,figures/AI/FIG_00003566.png,ebb49421d27bc4c6
FIG_00003765,2605.28030v1,AI,figures/AI/FIG_00003765.png,de0ca1d074f4b783
FIG_00003766,2605.28030v1,AI,figures/AI/FIG_00003766.png,de0ca1d074f4b783
FIG_00003854,2605.27996v1,AI,figures/AI/FIG_00003854.png,aa27b719e5c8c8a5
FIG_00003855,2605.27996v1,AI,figures/AI/FIG_00003855.png,b662819bcce4e2bc
FIG_00003856,2605.27996v1,AI,figures/AI/FIG_00003856.png,fa6a858595947a6a
FIG_00003857,2605.27996v1,AI,figures/AI/FIG_00003857.png,bc36c58cc3c358cb
FIG_00003858,2605.27996v1,AI,figures/AI/FIG_00003858.png,ea91957e81c56e91
FIG_00003859,2605.27996v1,AI,figures/AI/FIG_00003859.png,ae52792df88c8dc1
FIG_00003860,2605.27996v1,AI,figures/AI/FIG_00003860.png,eb4e62589ea59631
FIG_00003926,2605.27970v1,AI,figures/AI/FIG_00003926.png,ea0f95d3786c840f
FIG_00003927,2605.27970v1,AI,figures/AI/FIG_00003927.png,ea0f95d3786c840f
FIG_00003937,2605.27965v1,AI,figures/AI/FIG_00003937.png,fe63e44aa59d8498
FIG_00003938,2605.27965v1,AI,figures/AI/FIG_00003938.png,fe63e44aa59d8498
FIG_00003988,2605.27923v1,AI,figures/AI/FIG_00003988.png,ff9594e480e3c0d6
FIG_00003989,2605.27923v1,AI,figures/AI/FIG_00003989.png,ff9594e480e3c0d6
FIG_00004009,2605.27914v1,AI,figures/AI/FIG_00004009.png,a83f371e79424669
FIG_00004010,2605.27914v1,AI,figures/AI/FIG_00004010.png,a83f371e79424669
FIG_00004046,2605.27906v1,AI,figures/AI/FIG_00004046.png,ee6ec4b191939097
FIG_00004047,2605.27906v1,AI,figures/AI/FIG_00004047.png,ee6ec4b191939097
FIG_00004521,2605.27703v1,AI,figures/AI/FIG_00004521.png,fbc6f080f09785e8
FIG_00004522,2605.27703v1,AI,figures/AI/FIG_00004522.png,fbc6f080f09785e8
FIG_00004583,2605.28883v1,AI,figures/AI/FIG_00004583.png,bcd8c33cc0c7c267
FIG_00004586,2605.28883v1,AI,figures/AI/FIG_00004586.png,b8c9c71c4f6685c3
FIG_00004587,2605.28883v1,AI,figures/AI/FIG_00004587.png,bc60c387e4d98b1b
FIG_00004592,2605.28883v1,AI,figures/AI/FIG_00004592.png,bcd8c33cc0c7c267
FIG_00004593,2605.28883v1,AI,figures/AI/FIG_00004593.png,b8c9c71c4f6685c3
FIG_00004597,2605.28883v1,AI,figures/AI/FIG_00004597.png,bc60c387e4d98b1b
FIG_00004888,2605.27358v1,AI,figures/AI/FIG_00004888.png,ff80a07fd06a815e
FIG_00004889,2605.27358v1,AI,figures/AI/FIG_00004889.png,ff80a07fd06a815e
FIG_00004892,2605.27355v1,AI,figures/AI/FIG_00004892.png,a71f1c17dc0a1ed8
FIG_00004893,2605.27355v1,AI,figures/AI/FIG_00004893.png,ba337766a062b0e9
FIG_00004894,2605.27355v1,AI,figures/AI/FIG_00004894.png,fea1dedc89038166
FIG_00004895,2605.27355v1,AI,figures/AI/FIG_00004895.png,bec1f6a8c143913e
FIG_00004896,2605.27355v1,AI,figures/AI/FIG_00004896.png,fab88447ca37854e
FIG_00004897,2605.27355v1,AI,figures/AI/FIG_00004897.png,af2f78869286854f
FIG_00004898,2605.27355v1,AI,figures/AI/FIG_00004898.png,bbb2e43189cec05b
FIG_00004899,2605.27355v1,AI,figures/AI/FIG_00004899.png,ea1f9425870fd073
FIG_00004900,2605.27355v1,AI,figures/AI/FIG_00004900.png,eb9d9cb0d0689467
FIG_00004901,2605.27355v1,AI,figures/AI/FIG_00004901.png,eab19f9c958405b3
FIG_00004902,2605.27355v1,AI,figures/AI/FIG_00004902.png,aaf179a72046cc3b
FIG_00004903,2605.27355v1,AI,figures/AI/FIG_00004903.png,be9ce85e91c321a5
FIG_00004904,2605.27355v1,AI,figures/AI/FIG_00004904.png,ff1af48990e0c993
FIG_00004905,2605.27355v1,AI,figures/AI/FIG_00004905.png,fe8d8d729119c28d
FIG_00004998,2605.27255v1,AI,figures/AI/FIG_00004998.png,bb80e4b3e07391cd
FIG_00004999,2605.27255v1,AI,figures/AI/FIG_00004999.png,a6c1ee5cb136e498
FIG_00005000,2605.27255v1,AI,figures/AI/FIG_00005000.png,eed6c4999631d069
FIG_00005001,2605.27255v1,AI,figures/AI/FIG_00005001.png,bf37494e9060c3b6
FIG_00005002,2605.27255v1,AI,figures/AI/FIG_00005002.png,879a69cbe51e944a
FIG_00005003,2605.27255v1,AI,figures/AI/FIG_00005003.png,cf95f64b84999834
FIG_00005004,2605.27255v1,AI,figures/AI/FIG_00005004.png,b193cf6c864a2d96
FIG_00005005,2605.27255v1,AI,figures/AI/FIG_00005005.png,e3959869857a83d6
FIG_00005006,2605.27255v1,AI,figures/AI/FIG_00005006.png,f997c669946a83d0
FIG_00005007,2605.27255v1,AI,figures/AI/FIG_00005007.png,fa91957ac442e2d5
FIG_00005008,2605.27255v1,AI,figures/AI/FIG_00005008.png,ef9598629468c778
FIG_00005009,2605.27255v1,AI,figures/AI/FIG_00005009.png,e59d9a669468c770
FIG_00005461,2605.31170v1,AI,figures/AI/FIG_00005461.png,bcc7e938c30bc4c5
FIG_00005462,2605.31170v1,AI,figures/AI/FIG_00005462.png,bcc7e938c30bc4c5
FIG_00005590,2605.31120v1,AI,figures/AI/FIG_00005590.png,fb98a147d03d87d0
FIG_00005591,2605.31120v1,AI,figures/AI/FIG_00005591.png,fb98a147d03d87d0
FIG_00005640,2605.31065v1,AI,figures/AI/FIG_00005640.png,ca61e65ab0b193b6
FIG_00005642,2605.31065v1,AI,figures/AI/FIG_00005642.png,ca61e65ab0b193b6
FIG_00005690,2605.31023v1,AI,figures/AI/FIG_00005690.png,abd34cc4b339874c
FIG_00005691,2605.31023v1,AI,figures/AI/FIG_00005691.png,abd34cc4b339874c
FIG_00005746,2605.30934v1,AI,figures/AI/FIG_00005746.png,bf0fcca195e0d0f0
FIG_00005747,2605.30934v1,AI,figures/AI/FIG_00005747.png,bf0fcca195e0d0f0
FIG_00005954,2605.30802v1,AI,figures/AI/FIG_00005954.png,ae83f883585c91f9
FIG_00005955,2605.30802v1,AI,figures/AI/FIG_00005955.png,ae83f883585c91f9
FIG_00006106,2605.30675v1,AI,figures/AI/FIG_00006106.png,af408d3fe1c0de32
FIG_00006107,2605.30675v1,AI,figures/AI/FIG_00006107.png,af408d3fe1c0de32
FIG_00006166,2605.30641v1,AI,figures/AI/FIG_00006166.png,be786c3a7869023d
FIG_00006167,2605.30641v1,AI,figures/AI/FIG_00006167.png,be786c3a7869023d
FIG_00006313,2605.30585v1,AI,figures/AI/FIG_00006313.png,b197ce6c9b313189
FIG_00006314,2605.30585v1,AI,figures/AI/FIG_00006314.png,b197ce6c9b313189
FIG_00006433,2605.30512v1,AI,figures/AI/FIG_00006433.png,bc339bc8817e6c8c
FIG_00006434,2605.30512v1,AI,figures/AI/FIG_00006434.png,bc339bc8817e6c8c
FIG_00006489,2605.30447v1,AI,figures/AI/FIG_00006489.png,ef803e8487d778c1
FIG_00006490,2605.30447v1,AI,figures/AI/FIG_00006490.png,ef803e8487d778c1
FIG_00006533,2605.30288v2,AI,figures/AI/FIG_00006533.png,fa1cdae1853e854a
FIG_00006534,2605.30288v2,AI,figures/AI/FIG_00006534.png,ae987eda204834f7
FIG_00006535,2605.30288v2,AI,figures/AI/FIG_00006535.png,fe1e956e2ec181c1
FIG_00006536,2605.30288v2,AI,figures/AI/FIG_00006536.png,eaa077856d6d909c
FIG_00006537,2605.30288v2,AI,figures/AI/FIG_00006537.png,8c3a9b1eb4c3d1f0
FIG_00006538,2605.30155v2,AI,figures/AI/FIG_00006538.png,b05899adda7807a7
FIG_00006539,2605.30155v2,AI,figures/AI/FIG_00006539.png,f870d60f8de0961d
FIG_00006540,2605.30155v2,AI,figures/AI/FIG_00006540.png,fade80daf68181c9
FIG_00006541,2605.30155v2,AI,figures/AI/FIG_00006541.png,f77b783f081e8184
FIG_00006542,2605.30155v2,AI,figures/AI/FIG_00006542.png,eade945a768181cd
FIG_00006543,2605.30155v2,AI,figures/AI/FIG_00006543.png,eade945a768181cd
FIG_00006544,2605.30155v2,AI,figures/AI/FIG_00006544.png,eade945a768181cd
FIG_00006545,2605.30120v2,AI,figures/AI/FIG_00006545.png,9f85e39945425ce3
FIG_00006546,2605.30120v2,AI,figures/AI/FIG_00006546.png,fba6a41985ccc0e7
FIG_00006547,2605.30120v2,AI,figures/AI/FIG_00006547.png,bbe0e03bcc3c6166
FIG_00006548,2605.30120v2,AI,figures/AI/FIG_00006548.png,be213d6ba2521e1e
FIG_00006549,2605.30039v2,AI,figures/AI/FIG_00006549.png,bf4879d29ca186b1
FIG_00006550,2605.30039v2,AI,figures/AI/FIG_00006550.png,aed6803d3f999149
FIG_00006551,2605.30039v2,AI,figures/AI/FIG_00006551.png,fe968466857690b9
FIG_00006552,2605.30039v2,AI,figures/AI/FIG_00006552.png,eeb695cd9066811b
FIG_00006553,2605.30039v2,AI,figures/AI/FIG_00006553.png,af42689e98b3b721
FIG_00006554,2605.30039v2,AI,figures/AI/FIG_00006554.png,eb927a1e814da535
FIG_00006555,2605.30039v2,AI,figures/AI/FIG_00006555.png,ab6af6a5948d0f81
FIG_00006556,2605.30039v2,AI,figures/AI/FIG_00006556.png,8f967a5aa97c802d
FIG_00006557,2605.30039v2,AI,figures/AI/FIG_00006557.png,ad7ab438f2a5a08d
FIG_00006558,2605.30039v2,AI,figures/AI/FIG_00006558.png,a73c3b683ce1c986
FIG_00006559,2605.30039v2,AI,figures/AI/FIG_00006559.png,af4f1b926891e83c
FIG_00006560,2605.30039v2,AI,figures/AI/FIG_00006560.png,af3c68c3e0c7e093
FIG_00006578,2605.29833v2,AI,figures/AI/FIG_00006578.png,af69e0cb85a3d8c4
FIG_00006579,2605.29833v2,AI,figures/AI/FIG_00006579.png,bf3cc1c3c0a65e34
FIG_00006580,2605.29833v2,AI,figures/AI/FIG_00006580.png,ae8de54bc8b69648
FIG_00006581,2605.29833v2,AI,figures/AI/FIG_00006581.png,bf9fc1dac060e431
FIG_00006582,2605.29833v2,AI,figures/AI/FIG_00006582.png,abc3f45b96a4ca84
FIG_00006583,2605.29833v2,AI,figures/AI/FIG_00006583.png,aaa57872a17e817c
FIG_00006584,2605.29833v2,AI,figures/AI/FIG_00006584.png,ab81f56bc07e9588
FIG_00006585,2605.29833v2,AI,figures/AI/FIG_00006585.png,bf94d04a2d23d2a7
FIG_00006586,2605.29833v2,AI,figures/AI/FIG_00006586.png,bb99d00646cfbcc8
FIG_00006596,2605.29796v2,AI,figures/AI/FIG_00006596.png,af94d1ac9148ccf3
FIG_00006597,2605.29796v2,AI,figures/AI/FIG_00006597.png,eb81b83ee2623ca5
FIG_00006598,2605.29796v2,AI,figures/AI/FIG_00006598.png,ea90bc63ae9b9624
FIG_00006599,2605.29796v2,AI,figures/AI/FIG_00006599.png,bab79d24c7c3d084
FIG_00006600,2605.29796v2,AI,figures/AI/FIG_00006600.png,bb38e18f8c1c7073
FIG_00006601,2605.29796v2,AI,figures/AI/FIG_00006601.png,fac5816a807eb535
FIG_00006602,2605.29796v2,AI,figures/AI/FIG_00006602.png,bf87c178c18ad0dc
FIG_00006603,2605.29796v2,AI,figures/AI/FIG_00006603.png,bf83c1e68183d0fc
FIG_00006611,2605.29640v2,AI,figures/AI/FIG_00006611.png,af2f90c8d999c295
